,date,tweet
0,1/1/20,$AAPL We’ll been riding since last December from $172.12 what to do. Decisions decisions hmm 🤔. I have 20 mins to decide. Any suggestions?
1,2/1/20,$AAPL $300 calls First trade of 2020 Congrats to all bulls 😈
2,2/1/20,"$AAPL Remember, if you short every day, one of those days you will be right 😏"
3,2/1/20,"$AAPL called it, the bear comment below makes me chuckle inside. So sweeet 😜"
4,2/1/20,Apple is taking things UP in 2020 🚀🚀 $AAPL
5,2/1/20,$AAPL not a bad day wish I wouldnt have sold those 20 300 calls on monday. Still took a decent profit for next week calls though 🤑🤑
6,2/1/20,$AAPL where are all the peeps posting bearish since $200🤣
7,3/1/20,$AAPL tomorrow buy time on the dip then green 🐋🏛💰
8,3/1/20,$AAPL Thanks for that dip. Let the bears talk their gibberish and ignore it. 😆
9,3/1/20,$AAPL leave enough red to buy calls at open 🙏
10,3/1/20,$AAPL short this bears 🖕🖕🖕. Never go against Apple.
11,3/1/20,"$AAPL $1,000 by the end of January 😂"
12,6/1/20,$AAPL it’s just too funny and easy to laugh at bears at this point. Why don’t you guys do something useful like find a good job so you can afford to buy Apple instead of just posting jealous hate and looking like a 🤡
13,6/1/20,"$AAPL once hits 300 today, needs another 100 points to reach 400 like that smart gentleman said on CNBC this am 👍🏽"
14,7/1/20,$AAPL Bears & Shorts Later Today 😂😂😂
15,7/1/20,$AAPL who is ready to open tomorrow  at $290. It’s time 🐷
16,7/1/20,$AAPL Green by morning my ass!! Y’all should have taken profits 😂🤦🏻‍♂️👀🍎
17,8/1/20,$AAPL buy 300 call easy money 🤣🤣🤣🤣🤣🤣🤣🤣
18,8/1/20,$AAPL maybe dan Ives at Wedbush can reimburse all you chasers for your losses. Or maybe not 😂😂
19,8/1/20,$AAPL with all time highs again the market seems to enjoy war very much🤔
20,8/1/20,$AAPL short term 🐻 people need to pull some off the table with all uncertainty floating around. This is just dicey
21,8/1/20,$AAPL What makes bulls believe that Terrorist will stop 🛑 launching rockets 🧨
22,8/1/20,$AAPL hahaha many bears buying put/sell. Strong strong but we wanna see 305 before close hahaha🤣💯👆💹💵
23,9/1/20,"$AAPL again, shorts gonna buy put and sells, scared traders gonna take profit and selling shares/calls 😂 if thats gonna happen, BUY THE DIPS! HOLD AND GO LONG! BUY NEW CAR OR WHAT EVER! 👆💯💵🤲💹 End with 310-315 this week end next week"
24,9/1/20,$AAPL time to take a breather 😎
25,9/1/20,$AAPL nice to look at my account today and see my shares up over 100% and climbing. 👏🏻👏🏻
26,9/1/20,$AAPL Apple is going to keep on Running! Undervalued 🚀🚀🚀
27,10/1/20,$AAPL thanks bears! ATH. 50% profit on calls overnight 👍🏻👍🏻
28,10/1/20,$AAPL all those called getting burnt 🥵
29,10/1/20,"$AAPL i missed something.. Was whole day off, i couldn't buy anything. But i see bulls are fine! 330+ after earnings! Go short/longterms!  Have a great weekend💵💯🎊"
30,11/1/20,$AAPL pre-game: Apple AirPods and Apple Beats everywhere on these players. 🏈 💰
31,12/1/20,$AAPL waiting for a new dip tu buy 💪🏻
32,13/01/2020,$AAPL has been undervalued for a long time and they are blowing out all the numbers with the IPhone 11🚀❤️ $320 today or tomorrow .
33,13/01/2020,$AAPL no need to panic we know where we’re going!😎🥳
34,13/01/2020,$AAPL Still way undervalued. Looking forward to the next ER! 🤙
35,14/01/2020,$AAPL wow!! unbelievable this thing is trying to reach the stars lol 😆
36,14/01/2020,"$AAPL 

Don’t say wait u didn’t tell me lol over 100% 👀"
37,14/01/2020,$AAPL lmao there it is!! Bye bye AAPL!! 😂🐻
38,15/01/2020,"$AAPL is amazing, the best! But these evaluations folks..... 👎👎👎"
39,15/01/2020,$AAPL 🐻 Guess that FED pumping is over for them now.
40,15/01/2020,$AAPL no one buying this bs but the fed and Apple. So hope you bulls get some buy backs soon!! 🤣😂🤣😆🙄
41,15/01/2020,$AAPL poor sales for their gadgets at target stores lol 🤣😅🤣😅😂😅
42,15/01/2020,$AAPL Here’s a glimpse at ER. Y’all are done!! 😂
43,16/01/2020,$AAPL I guess it’s time to readjust my screen cuz I can’t see where it’s stopped to. 😂
44,16/01/2020,$AAPL Anyone here happen to be holding $300 Puts ? 👀
45,17/01/2020,$AAPL beautiful stair step pattern continuing with eventual resolution to the upside. Stock still cheap forward looking and earnings are gonna be 💯.
46,17/01/2020,They really hate $AAPL in this 317 area 🥴
47,17/01/2020,$AAPL 🐻 s r speechless n has reached a new level of insanity😂😂😂 super
48,19/01/2020,$AAPL loaded puts on this one for post earnings collapse !!! 🤣😂🤣😂🤣
49,19/01/2020,$AAPL ready to get my down payment for my house next week 🤑
50,21/01/2020,$AAPL bulls believing every day green 😄
51,23/01/2020,"$AAPL Alright 320, if we don't get ya tomorrow the ER is right around the corner. We'll get ya soon one way or another ✌️"
52,23/01/2020,$AAPL  wonder if it’s time to unload 🧐
53,23/01/2020,$AAPL I bought for 319.90 ..I still have longgg way to go 👽
54,24/01/2020,$AAPL knew I should’ve bought 20!! 🤦🏻‍♂️
55,25/01/2020,"$AAPL 🎶 Stop, in the name of love 🎶"
56,27/01/2020,$AAPL These going to PAY BIGLY tomorrow 😬🤑💰
57,27/01/2020,$AAPL ouch bulls don’t forget to buy the dip lol 🤣😅😂🤣😅😂😅😂😂😂😂🤣😅😅🤣😂🤣😂🤣😂😂🤣😅🤣🤣
58,27/01/2020,$AAPL 🤡👉 we are in a 👉GLOBAL RECESSION👈
59,27/01/2020,$AAPL I hope the yolo puts guy gets some payback tomorrow 😂
60,28/01/2020,$AAPL to all the people going off futures to determine the movement tomorrow: LMFAO😂🤣🤣
61,28/01/2020,$AAPL Bulls can’t catch a break 😂🤷🏻‍♂️🐻
62,28/01/2020,"$AAPL 🐻👉 any UPDATE from the Nurse WHISTLEBLOWER in china ...she claimed 90,000 people infected 3 days ago ...what's the real number Now #nursewhistleblower"
63,28/01/2020,$AAPL I love it...bunch of degenerates coming in to roll the 🎲!!!
64,28/01/2020,$AAPL Looking forward to ER. Good Luck folks 🤙🍏🚀🚀🚀🚀🚀
65,28/01/2020,"$AAPL Let's see who wins Calls or Puts? 

Personally I'm cheering for calls but let's see 👀"
66,28/01/2020,$AAPL Niles is full panic mode. 😂
67,28/01/2020,$AAPL buying calls on sale tomorrow 👍🏻👍🏻👍🏻
68,28/01/2020,$AAPL I wonder at what price this is gonna open 🤔
69,29/01/2020,"$AAPL nice green apple! long term holdings, put buyers lost again, longer term at the money calls prob did ok here

put buyers eating dinner on the floor tonight 🥴"
70,29/01/2020,$AAPL congratulations to the Apple bulls and Longs ! Party tomorrow ! 🔥🔥🔥👏👏🙆‍♂️🕶✨🌟
71,29/01/2020,$AAPL in with a long swing 🌚 $330 target 📈
72,29/01/2020,$AAPL where the bear go!?? Hopefully back to their caves 😆💴✨🤷‍♂️
73,29/01/2020,$AAPL NEWS IS OUT WE GETTING A UPGRADE 🚀🚀🚀🚀
74,30/01/2020,$AAPL Scared of the sniffys?😱🤭🤣😂😂 cdc says to not even wear masks.. go get a flu shot
75,31/01/2020,$AAPL Bulls believing the Corona virus 🦠 is a market hoax
76,31/01/2020,$AAPL tfw u get a text that changes your life🥺
77,31/01/2020,"$AAPL i don’t normally do puts, but when i do, i do it when there’s a virus pandemic. 🧔🏼"
78,1/2/20,$AAPL yeah bulls just keep buying 😂😂😂😂👍👍👍
79,1/2/20,$AAPL more money for shorts 💰💰closing all stores in china with immediate effect. lets give market share to competitiors in china without any struggle
80,2/2/20,$AAPL Selloff/ profits see you at 250.00 😮😮😮👀
81,3/2/20,$AAPL Bulls really believe tomorrow will be green 😆🤣😂😭🤪🤪🤪
82,3/2/20,$AAPL Bahahaha GAP UP they said 😂🤦🏻‍♂️🐻🍎🤑
83,3/2/20,$AAPL Don't worry you'll still be in the trillion dollar club at 212 😂
